PLAYER_NAME,TEAM_ABBREVIATION,GAME_SCORE_AVG,MIN_AVG
Keljin Blevins,POR,2.2399999999999993,17.3
Xavier Moon,LAC,2.3600000000000003,10.1
Devin Cannady,ORL,6.42,28.8
Anthony Edwards,MIN,22.869999999999997,38.2
LaMelo Ball,CHA,11.729999999999999,26.3
James Wiseman,IND,6.51,22.8
Killian Hayes,BKN,7.55,24.2
Deni Avdija,POR,20.31,33.9
Obi Toppin,IND,7.830000000000001,21.8
Onyeka Okongwu,ATL,12.54,33.4
Tyrese Haliburton,IND,21.080000000000002,31.2
Devin Vassell,SAS,14.279999999999998,31.1
Isaac Okoro,CHI,6.7700000000000005,25.6
Patrick Williams,CHI,4.51,21.2
Precious Achiuwa,SAC,8.719999999999999,21.9
Aaron Nesmith,IND,11.16,30.7
Cole Anthony,MIL,2.8299999999999996,10.5
Vernon Carey Jr.,WAS,0.7199999999999998,2.7
Theo Maledon,PHX,0.2500000000000002,9.0
Tyrese Maxey,PHI,24.01,39.3
Saddiq Bey,NOP,16.42,33.5
R.J. Hampton,MIA,1.1199999999999999,11.1
Josh Green,CHA,4.25,20.3
Jaden McDaniels,MIN,10.1,34.4
Kira Lewis Jr.,UTA,3.7700000000000005,11.4
Jahmi'us Ramsey,TOR,4.72,15.6
Daniel Oturu,TOR,2.6999999999999997,9.333333333333334
Jalen Smith,CHI,7.790000000000001,17.6
Elijah Hughes,POR,2.9899999999999998,17.2
Isaiah Stewart,DET,8.5,21.7
Zeke Nnaji,DEN,2.0000000000000004,10.8
Immanuel Quickley,TOR,13.209999999999999,33.3
Paul Reed,DET,9.08,13.5
Leandro Bolmaro,UTA,-0.6300000000000001,4.6
Filip Petrusev,SAC,0.5000000000000001,3.0
Aleksej Pokusevski,CHA,7.039999999999999,19.4
Isaiah Joe,OKC,9.21,22.0
Cassius Stanley,DET,3.4999999999999996,17.22222222222222
Tre Jones,CHI,11.73,27.0
Malachi Flynn,CHA,4.0,15.4
Payton Pritchard,BOS,13.9,32.6
Ashton Hagans,POR,3.9199999999999995,17.5
Lamar Stevens,MEM,2.3899999999999997,8.0
Jay Scrubb,ORL,2.1399999999999997,9.2
Nate Hinton,HOU,2.4899999999999998,4.8
Nick Richards,PHX,1.2599999999999991,8.1
Omer Yurtseven,UTA,7.25,18.5
Markus Howard,DEN,2.46,4.3
Xavier Tillman,BOS,2.7199999999999998,8.9
Jared Butler,PHI,11.9,27.9
Cassius Winston,WAS,0.9285714285714286,5.571428571428571
Desmond Bane,ORL,16.98,34.3
Robert Woodard II,SAC,0.25000000000000006,3.7
Skylar Mays,LAL,0.7899999999999996,2.3
Mason Jones,SAC,2.33,4.6
Jalen Green,PHX,10.989999999999998,23.9
Isaiah Todd,WAS,0.1300000000000002,10.4
Daishen Nix,MIN,0.6299999999999997,3.8
Jonathan Kuminga,GSW,4.220000000000001,22.1
Naji Marshall,DAL,13.639999999999997,30.5
KJ Martin,UTA,3.6799999999999997,21.0
Nathan Knight,MIN,1.9899999999999998,8.2
Trent Forrest,ATL,3.59,12.6
Anthony Lamb,GSW,4.119999999999999,15.0
Malik Fitts,BOS,1.65,5.2
Saben Lee,PHX,2.0100000000000002,7.9
Sam Merrill,CLE,9.179999999999998,25.7
Trevelin Queen,ORL,4.25,9.8
Ayo Dosunmu,CHI,11.4,30.1
Vít Krejčí,ATL,7.81,24.5
Marko Simonovic,CHI,1.0299999999999998,3.4
Jae'Sean Tate,HOU,3.16,8.9
Jon Teske,MEM,0.13333333333333333,2.6666666666666665
Jordan Ford,SAC,1.6166666666666665,3.3333333333333335
Anthony Gill,WAS,1.45,4.1
Facundo Campazzo,DAL,1.3699999999999992,6.4
Xavier Sneed,CHA,1.44,7.7
Brodric Thomas,BOS,1.55,5.8
Freddie Gillespie,ORL,2.6888888888888887,13.333333333333334
Kylor Kelley,NOP,3.4299999999999997,11.8
Kevon Harris,ORL,3.29,13.5
Zavier Simpson,MEM,5.83,29.3
Jeff Dowtin Jr.,PHI,13.41,26.6
Braxton Key,GSW,1.01,2.7
Pat Spencer,GSW,9.01,20.2
Brandon Williams,DAL,8.61,23.1
Lindy Waters III,SAS,1.04,6.3
Matt Ryan,NYK,1.2100000000000002,2.2
Gabriel Deck,OKC,2.1857142857142855,7.857142857142857
Jeremiah Robinson-Earl,IND,2.5700000000000003,16.3
Brandon Boston,NOP,4.12,18.6
Josh Christopher,MIA,1.6200000000000003,5.1
Herbert Jones,NOP,6.01,27.3
Trey Murphy III,NOP,19.07,35.3
Jaden Springer,UTA,3.1499999999999995,14.1
Franz Wagner,ORL,18.03,30.0
Ziaire Williams,BKN,5.17,22.7
Ochai Agbaji,TOR,3.2300000000000004,16.1
Greg Brown III,DAL,1.11,5.6
Sharife Cooper,WAS,-0.3,3.1
Chris Duarte,CHI,1.41,4.2
Bones Hyland,MIN,5.06,9.4
Kai Jones,DAL,11.09,20.2
Miles McBride,NYK,10.9,31.1
Moses Moody,GSW,7.81,23.7
Marcus Bagley,PHI,6.99,25.2
Isaiah Jackson,IND,7.87,18.8
Tre Mann,CHA,4.23,20.3
Terrence Shannon Jr.,MIN,3.0299999999999994,12.2
James Bouknight,CHA,1.7,5.7
Johnny Juzang,MIN,2.5199999999999996,8.1
Day'Ron Sharpe,BKN,7.76,16.8
JT Thor,WAS,3.830000000000001,19.7
Justin Champagnie,WAS,9.009999999999998,21.0
Jalen Johnson,ATL,22.43,37.2
Keon Johnson,BKN,9.209999999999999,26.3
Jason Preston,UTA,2.91,11.5
Joel Ayayi,WAS,0.32857142857142857,2.857142857142857
Kessler Edwards,DAL,9.34,27.3
Corey Kispert,WAS,8.569999999999999,20.5
Davion Mitchell,MIA,11.62,30.6
Austin Reaves,LAL,21.660000000000004,37.5
Cam Thomas,BKN,13.45,29.0
David Duke Jr.,SAS,3.3599999999999994,8.4
Matt Hurt,MEM,3.0124999999999997,14.0
Joshua Primo,LAC,3.54,20.9
RaiQuan Gray,SAS,9.1,18.75
Aaron Henry,PHI,-0.3666666666666667,3.0
Scottie Barnes,TOR,17.419999999999998,35.7
Luka Garza,BOS,7.109999999999999,13.0
Trendon Watford,PHI,8.829999999999998,21.1
Sandro Mamukelashvili,TOR,7.83,21.2
Sam Hauser,BOS,5.860000000000001,22.5
Ariel Hukporti,NYK,1.5799999999999996,7.3
Julian Champagnie,SAS,10.729999999999999,30.6
Alperen Sengun,HOU,20.06,36.3
Jericho Sims,MIL,4.9,22.4
Joe Wieskamp,TOR,0.1400000000000002,6.0
Josh Giddey,CHI,17.48,33.4
Yves Pons,MEM,0.97,6.6
Santi Aldama,MEM,11.86,28.0
Marcus Garrett,CHA,3.1,18.6
Usman Garuba,GSW,0.51,5.2
Isaiah Livers,PHX,2.3899999999999997,12.5
Moses Wright,DAL,1.5,3.5
